Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2016-12-01,4,2,165,7.3966,2.683333333,0:02:41
2016-12-26,4,0,143,7.9378,3.316666667,0:03:19
2017-01-24,4,2,160,8.2714,3.1,0:03:06
2017-03-04,4,2,169,6.4011,2.266666667,0:02:16
2017-03-05,4,0,161,7.2816,2.7,0:02:42
2017-05-30,4,0,200,14.241,4.266666667,0:04:16
2017-06-30,4,3,680,34.4273,3.033333333,0:03:02
2017-07-14,4,0,193,6.3234,1.95,0:01:57
2017-09-14,4,1,135,8.2058,3.633333333,0:03:38
2018-07-01,4,11,223,11.3951,3.05,0:03:03
2019-03-17,4,-1,81,3.3319,2.466666667,0:02:28
2019-09-26,4,0,48,3.7938,4.733333333,0:04:44
2020-10-18,4,0,70,5.1938,4.45,0:04:27
2022-11-13,4,0,536,3.377,0.3666666667,0:00:22
2015-10-26,3,-5,93,1.2586,0.8,0:00:48
2015-10-30,3,0,55,1.162,1.266666667,0:01:16
2015-11-07,3,-1,50,1.6404,1.966666667,0:01:58
2015-11-23,3,0,50,2.7004,3.233333333,0:03:14
2015-11-25,3,0,65,4.9095,4.516666667,0:04:31
2015-12-02,3,1,53,2.3308,2.633333333,0:02:38
2015-12-06,3,0,61,2.2066,2.166666667,0:02:10
2016-01-12,3,-1,43,1.0493,1.45,0:01:27
2016-02-07,3,-2,44,1.2965,1.766666667,0:01:46
2016-02-13,3,-1,36,0.9689,1.6,0:01:36
2016-02-17,3,0,23,0.6182,1.6,0:01:36
2016-03-14,3,-1,44,3.8158,5.2,0:05:12
2016-04-30,3,1,87,3.9599,2.716666667,0:02:43
2016-07-04,3,1,54,2.0234,2.233333333,0:02:14
2016-08-23,3,1,84,3.6516,2.6,0:02:36
2016-09-16,3,2,114,4.1262,2.166666667,0:02:10
2016-09-22,3,1,115,5.8739,3.05,0:03:03
2016-09-28,3,0,146,6.1505,2.516666667,0:02:31
2016-11-05,3,0,162,6.4848,2.4,0:02:24
2017-01-03,3,1,171,6.7309,2.35,0:02:21
2017-02-12,3,0,157,7.6084,2.9,0:02:54
2017-02-18,3,0,121,6.9141,3.416666667,0:03:25
2017-02-25,3,1,142,7.8066,3.283333333,0:03:17
2017-03-08,3,-1,155,9.2987,3.583333333,0:03:35
2017-03-17,3,0,120,7.2445,3.616666667,0:03:37
2017-05-15,3,0,268,14.5905,3.25,0:03:15
2017-05-24,3,1,164,11.2059,4.083333333,0:04:05
2017-05-29,3,2,160,12.158,4.55,0:04:33
2017-07-24,3,0,159,8.5424,3.216666667,0:03:13
2017-10-09,3,1,163,7.967,2.916666667,0:02:55
2017-10-11,3,0,137,3.7525,1.633333333,0:01:38
2017-12-26,3,1,116,5.9081,3.05,0:03:03
2018-05-07,3,2,725,16.1681,1.333333333,0:01:20
2018-06-09,3,0,192,5.6385,1.75,0:01:45
2018-07-11,3,-1,152,4.4121,1.733333333,0:01:44
2018-07-21,3,1,113,5.7305,3.033333333,0:03:02
2019-01-31,3,0,130,3.2399,1.483333333,0:01:29
2019-06-07,3,0,48,3.6539,4.566666667,0:04:34
2019-07-07,3,0,58,1.9499,2.016666667,0:02:01
2019-07-28,3,2,132,12.2796,5.566666667,0:05:34
2019-09-03,3,-1,50,5.1587,6.183333333,0:06:11
2019-09-04,3,1,64,2.479,2.316666667,0:02:19
2019-11-01,3,12,101,4.3531,2.583333333,0:02:35
2020-03-08,3,-1,50,1.4779,1.766666667,0:01:46
2020-03-09,3,-3,67,3.6188,3.233333333,0:03:14
2020-04-30,3,0,92,6.0851,3.966666667,0:03:58
